DIRECTORIO	NRO_ENCUESTA	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P3	P5660	P1070	P4005	P4015	P4567	P8520	P8520S1	P8520S1A1	P8520S3	P8520S4	P8520S4A1	P8520S5	P4065	P4065S1	P4065S2	P4065S3	P4065S4	P5661	P5661S1	P5661S2	P5661S3	P5661S4	P5661S5	P5661S6	P5661S7	P5661S8	CANT_HOG_COMPLETOS	P1_DEPARTAMENTO	REGION	REGION_BUENAVENTURA	FEX_C
5000000	590	1	1	1	1	01-09-2016 00:00:00	2	1	4	1		1	1	1	1	3	1		2	2	2	2									1	1	85	9		828.880118315855
5000001	590	1	1	1	1	01-09-2016 00:00:00	3	1	4	3		1	2	1	1	3	1		2	2	2	2		1								1	85	9		347.919640627444
5000002	590	1	1	1	1	02-09-2016 00:00:00	1	1	4	3		1	1	1	1	3	1		2	2	2	2									1	1	85	9		723.139575208513
5000003	590	1	1	1	1	02-09-2016 00:00:00	2	1	6	3		1	1	1	1	3	1		2	2	2	2				1		1				1	85	9		298.315433826033
5000004	590	1	1	1	1	02-09-2016 00:00:00	1	1	4	4		1	2	1	1	2	1		2	2	2	2							1			1	85	9		207.220029578964
5000005	590	1	1	1	1	02-09-2016 00:00:00	1	1	4	3		1	2	1	1	2	1		2	2	2	2			1					1		1	85	9		468.54368103057
5000007	590	1	1	1	1	01-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2								1		1	63	3		633.230794023337
5000008	590	1	1	1	1	01-09-2016 00:00:00	1	1	4	3		1	2	1	1	3	1		2	2	2	2			1				1			1	63	3		980.313060125374
5000010	590	1	1	1	1	01-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2									1	1	63	3		708.133583044933
5000014	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	1		1	2	1	1	3	1		2	2	2	2		1		1			1			1	08	1		2657.77714816631
5000015	590	1	1	1	1	06-09-2016 00:00:00	2	1	4	3		1	2	1	1	3	1		2	2	2	2								1		1	08	1		1694.50272934444
