DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5095	P5100	P5120	P8692	P8692S1A1	P8692S2	P5110	P5130	P5140	P5160	P5160S1	P5160S1A1	P5160S2	P5160S2A1	LLAVEHOG	FEX_C
5000000	1	1	591	1	3								400000	2					50000001	828.880118315855
5000001	1	1	591	1	3								200000	2					50000011	347.919640627444
5000002	1	1	591	1	3								450000	2					50000021	723.139575208513
5000003	1	1	591	1	1		1	1	1		100000000	500000		2					50000031	298.315433826033
5000004	1	1	591	1	1		1	2		2	60000000	400000		2					50000041	207.220029578964
5000005	1	1	591	1	1		1	3			120000000	600000		2					50000051	468.54368103057
5000007	1	1	591	1	1		1	1	1		50000000	350000		2					50000071	633.230794023337
5000008	1	1	591	1	1		1	1	1		30000000	200000		2					50000081	980.313060125374
5000010	1	1	591	1	3								250000	2					50000101	708.133583044933
5000014	1	1	591	1	3								600000	2					50000141	2657.77714816631
5000015	1	1	591	1	1		1	1	1		120000000	400000		2					50000151	1694.50272934444
5000017	1	1	591	1	3								500000	2					50000171	2956.1643247549
5000019	1	1	591	1	2	500000	1	3			150000000	700000		2					50000191	2870.34287780229
5000020	1	1	591	1	1		1	1	1		200000000	800000		2					50000201	2161.78254060612
5000022	1	1	591	1	3								400000	2					50000221	1974.91464404045
5000025	1	1	591	1	3								500000	2					50000251	1887.64640092367
5000026	1	1	591	1	1		2				50000000	400000		2					50000261	2842.89028819398
5000028	1	1	591	1	1		2				35000000	300000		2					50000281	1781.77097246122
5000029	1	1	591	1	1		1	1	1		60000000	350000		2					50000291	2435.8765247322
5000030	1	1	591	1	1		1	1	1		60000000	500000		2					50000301	1995.8272456876
5000031	1	1	591	1	1		1	1	1		99	99		2					50000311	2219.27554983758
5000032	1	1	591	1	1		1	1	1		300000000	1000000		2					50000321	1309.23366821642
5000033	1	1	591	1	4							300000		2					50000331	3314.10196911414
5000036	1	1	591	1	1		1	2		2	60000000	500000		2					50000361	2048.06276193594
5000037	1	1	591	1	1		2				150000000	1000000		2					50000371	2792.4307895617
5000038	1	1	591	1	1		1	1	1		99	1500000		2					50000381	1664.72749545912
5000039	1	1	591	1	1		1	1	1		70000000	400000		2					50000391	2219.27554983758
5000040	1	1	591	1	1		1	1	2		70000000	350000		2					50000401	2054.31727587144
5000041	1	1	591	1	1		1	1	1		25000000	250000		2					50000411	2577.21319419681
5000042	1	1	591	1	1		1	1	1		60000000	500000		2					50000421	2526.13900008698
5000043	1	1	591	1	4							400000		2					50000431	2870.34287780229
5000045	1	1	591	1	1		2				70000000	500000		2					50000451	2872.6655220793
5000046	1	1	591	1	1		1	1	2		70000000	500000		2					50000461	2543.34178946688
5000048	1	1	591	1	1		1	1	1		100000000	600000		2					50000481	2271.51106608592
5000049	1	1	591	1	1		1	2		2	70000000	600000		2					50000491	2136.3280260051
5000050	1	1	591	1	1		1	3			70000000	250000		2					50000501	2214.01805685446
5000053	1	1	591	1	1		1	1	1		50000000	400000		2					50000531	2184.24282296914
5000054	1	1	591	1	3								350000	2					50000541	2745.04539128309
5000055	1	1	591	1	1		1	1	1		250000000	2000000		2					50000551	1610.55818455959
5000056	1	1	591	1	2	600000	1	1	1		120000000	2000000		2					50000561	2985.93955864022
5000057	1	1	591	1	3								500000	2					50000571	2651.52263423082
5000059	1	1	591	1	1		2				80000000	250000		2					50000591	3200.82793255322
5000060	1	1	591	1	1		1	1	1		60000000	400000		2					50000601	2389.89552241935
5000062	1	1	591	1	2	570000	2				90000000	400000		2					50000621	2657.77714816631
5000063	1	1	591	1	4							1200000		2					50000631	2077.83799582127
5000064	1	1	591	1	4							500000		2					50000641	2879.69903267848
5000065	1	1	591	1	1		1	1	1		20000000	200000		2					50000651	2312.91275224675
