"DIRECTORIO","CANT_HOG_COMPLETOS","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P1070","P4005","P4015","P4567","P8520","P8520S1","P8520S1A1","P8520S3","P8520S4","P8520S4A1","P8520S5","P4065","P4065S1","P4065S2","P4065S3","P4065S4","P5661","P5661S1","P5661S2","P5661S3","P5661S4","P5661S5","P5661S6","P5661S7","P5661S9","P1891","P1891S1","P1891S2","P1891S3","P1891S4","P1891S5","P1_DEPARTAMENTO","FEX_C","CLASE"
6000000,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,4,1,1,4,1,1.79769313486232e+308,2,2,1,2,2,"08",2246.29287409386,1
6000001,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,3,3,2,2,3,2,1.79769313486232e+308,1,1,1,1,1,"08",2866.07522374918,1
6000002,1,1,1,1,2,1,6,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,1,2,2,2,1.79769313486232e+308,2,3,2,2,2,3,4,3,1.79769313486232e+308,1,1,1,1,1,"08",2851.50229401111,1
6000003,1,1,1,1,2,1,6,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,1,2,2,2,1.79769313486232e+308,2,3,3,3,2,3,4,3,1.79769313486232e+308,1,1,1,1,1,"08",2870.01398177933,1
6000005,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,2,1,4,2,1,1.79769313486232e+308,1,2,1,2,2,"08",2252.8576889304,1
6000006,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,1,2,2,2,1.79769313486232e+308,3,3,4,4,4,3,4,4,1.79769313486232e+308,1,2,1,2,2,"08",2090.10329084383,1
6000008,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,3,3,3,2,4,2,2,1.79769313486232e+308,1,1,1,1,1,"47",2270.38111641433,1
6000009,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,4,1,1,1,1,2,1,1.79769313486232e+308,1,1,1,2,2,"47",2273.21683985532,1
6000010,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,4,4,4,1,1,4,1,1.79769313486232e+308,1,1,2,2,2,"47",2241.36340541398,1
6000011,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,1,2,1,4,2,1,1.79769313486232e+308,2,1,2,2,2,"47",2206.31376084916,1
6000012,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,2,1,3,1,3,4,1,1.79769313486232e+308,2,2,2,2,2,"47",1848.71475370233,1
6000013,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,3,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"47",1655.7689079334,1
6000015,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,3,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"47",2934.72190999767,1
6000016,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,1,2,2,3,1,1.79769313486232e+308,2,2,2,2,2,"47",1788.83434331794,1
6000017,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,3,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,1,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"47",1820.77727583771,1
6000019,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,1,1,1.79769313486232e+308,2,1,2,1,2,"44",2340.15072814838,1
6000020,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,3,1,1,1,1,1,4,1,1.79769313486232e+308,1,2,2,2,2,"44",2105.36514784542,1
6000021,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,4,1,1,1,2,1,1.79769313486232e+308,1,2,1,2,2,"44",2721.38696829907,1
6000022,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,4,1,1,1.79769313486232e+308,2,1,1,1,2,"41",108.46912925121,2
6000023,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,1,1,1,2,1,1.79769313486232e+308,2,1,2,2,2,"41",91.5284162486736,2
6000024,1,1,1,1,2,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"41",91.5284162486736,2
6000025,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,1,1,3,2,1,1.79769313486232e+308,1,2,2,2,2,"41",172.746762963033,2
6000026,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,2,3,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"41",214.96401688913,2
6000027,2,1,1,1,1,3,7,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,4,1,1,1,4,1,1.79769313486232e+308,2,1,1,2,1,"41",273.77427720977,2
6000028,1,1,1,1,1,3,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,1,1,1,1,2,"41",140.309554866379,2
6000029,1,1,1,1,2,1,4,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"41",137.261081005396,2
6000030,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"41",343.489658902536,2
6000031,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,1,1,1.79769313486232e+308,1,3,3,3,2,3,4,1,1.79769313486232e+308,1,2,2,1,1,"41",97.8788764401037,2
6000032,1,1,1,1,2,1,6,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,2,1.79769313486232e+308,2,2,2,2,2,"18",1509.67559523903,1
6000033,1,1,1,1,2,1,6,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,2,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"18",1393.22888205779,1
6000034,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,2,1,2,1,1,1.79769313486232e+308,2,2,2,2,2,"18",901.189402466291,1
6000035,1,1,1,1,2,1,4,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,2,2,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"18",1041.98126324301,1
6000036,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,2,2,2,1,1.79769313486232e+308,2,2,2,2,2,"85",854.994353526318,1
6000037,1,1,1,1,2,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,2,1,2,2,1,1.79769313486232e+308,2,2,2,2,2,"85",399.24241311402,1
6000039,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,4,3,4,1,2,3,1,1.79769313486232e+308,2,1,2,2,2,"85",442.206118403276,1
6000042,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,2,2,2,2,1,1.79769313486232e+308,2,2,2,2,2,"68",2533.19378375486,1
6000043,1,1,1,1,1,1,4,2,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,1,3,3,1,3,1,1.79769313486232e+308,2,2,2,2,2,"68",2446.56883372698,1
6000044,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,2,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"68",2886.80709162512,1
6000045,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,2,1,1,1,2,1,1.79769313486232e+308,2,2,2,2,2,"68",2409.22458228129,1
6000046,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,3,1,1,1,4,1,1.79769313486232e+308,2,2,2,2,2,"68",2732.11053676786,1
6000047,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,4,1,2,3,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"68",2814.52958604635,1
6000048,2,1,1,1,2,1,4,2,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,2,2,2,2,2,1,1.79769313486232e+308,1,1,1,2,2,"68",2119.93108914143,1
6000049,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,2,1,2,1,1,1,1.79769313486232e+308,2,2,2,2,2,"68",1896.6395410426,1
6000050,1,1,1,1,2,1,4,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"68",2389.09896144105,1
