DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P5000	P5010	P5016	P5016S2	P5016S3	P5016S4	P5016S5	P5016S6	P5666	P8526	P5022	P5024	P5030	P1892	P1892S1	P1892S2	P1892S3	P1892S4	P1893	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P5012S8	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	LLAVEHOG	FEX_C	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU
6000000	1	1	1	6	4		1					1	1	1	1	1				1		1	1	1		1			1					2	1	1	2	2	2	2	1	1	1	2	1		2	2		2	60000001	2246.29287409386	6	1365000	1365000	227500	0
6000001	1	1	1	3	1			1				1	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	1	1		2	2		2	60000011	2866.07522374918	3	1267500	1267500	422500	0
6000002	1	1	1	2	1		1					1	1	1	1	1		1				1	1	2										1	1	2	1	2	1	2	1	1	1	1	3		2	2		2	60000021	2851.50229401111	4	1880000	1880000	470000	0
6000003	1	1	1	3	2		1					1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	1	2	2	1	1	1	1	1		2	2		2	60000031	2870.01398177933	7	1165000	1165000	166428.571428571	0
6000005	1	1	1	4	3		1					1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	1	1	1	3		2	2		2	60000051	2252.8576889304	4	2525000	2525000	631250	0
6000006	1	1	1	3	1		1					1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	1	1	1	1		2	2		2	60000061	2090.10329084383	2	1500000	1500000	750000	0
6000008	1	1	1	2	2				1			1	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	2	2	1	10		2	1		2	2		2	60000081	2270.38111641433	6	1100000	1100000	183333.333333333	0
6000009	1	1	1	3	2				1			1	1	1	1	1		1				1	1	2										1	1	1	1	2	2	2	1	10		6	1		2	2		2	60000091	2273.21683985532	3	600000	600000	200000	0
6000010	1	1	1	3	2				1			1	1	1	1	1		1		1		1	1	2										1	1	2	1	2	1	2	1	1	2	1	3		2	2		2	60000101	2241.36340541398	4	1363000	1363000	340750	0
6000011	1	1	1	6	5					1		1	1	1	2	1		1				1	1	2										1	1	1	1	1	1	2	1	1	2	6	1		2	1	1	2	60000111	2206.31376084916	5	700000	700000	140000	0
